lambda,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,rounding
1.9,3961.1980454098275,3646.4697604930884,3490.2667597538752,3397.9109693108294,3337.4908971393893,3295.2528293049886,3264.302883296484,3240.8111864974294,3222.4850344102347,3207.8718374716923,3196.0093454628573,3186.2367569313838,3178.0865455449357,3171.219472845385,3165.3839651081066,3160.3898590642248,3156.0909461821066,3152.373080436456,3149.1459026555494,3146.3369729876154,3143.887540867496,3141.7494492945502,3139.8828379275815,3138.2544171355776,3136.83615567517,3135.604271747258,3134.5384491369646,3133.6212221520227,3132.837488439,3132.1741196170524,3131.619647428488,3131.1640087086275,3130.7983365619225,3130.5147881354783,3130.306401609289,3130.166976689503,3130.0909741461896,3130.0734308912342,3130.1098878212933,3130.1963282120914,3646.4697604930884
2.0,3997.8922200420925,3657.6962936155305,3492.702419461806,3396.2811502880736,3333.633084400031,3290.0317434629023,3258.182553983574,3234.0661002527436,3215.2902420551063,3200.3457593779685,3188.235884434852,3178.2775354724718,3169.9880885561465,3163.0176480697887,3157.1068589360075,3152.0597184034627,3147.7255392086995,3143.986681410262,3140.750024486259,3137.940924692595,3135.49885964722,3133.3742403254128,3131.5260446005673,3129.9200378160162,3128.5274186680476,3127.3237771726467,3126.2882843420275,3125.403055794614,3124.652647283977,3124.023651262834,3123.5043715501215,3123.0845589115206,3122.7551945508953,3122.5083115919574,3122.3368469182387,3122.234517452917,3122.1957162527133,3122.2154247749054,3122.289138428682,3122.412803105112,3657.6962936155305
2.1,4034.315198189447,3668.799104326407,3495.2351356042186,3394.8608792715913,3330.0384248519194,3285.09836643974,3252.359856077774,3227.6208843696354,3208.3933080987217,3193.1130195171368,3180.7496459751396,3170.5983247329914,3162.1616265443904,3155.0791872103255,3149.08400667822,3143.974352034828,3139.5951512637726,3135.825354157166,3132.569153983759,3129.749770183384,3127.304967550821,3125.1837758993497,3123.3440541429877,3121.7506576752467,3120.3740429188124,3119.1891927984557,3118.174780636659,3117.312513162935,3116.5866094905728,3115.98338432587,3115.4909118267387,3115.0987524151146,3114.7977291434363,3114.5797433797597,3114.437621927645,3114.364989459715,3114.3561614767523,3114.4060540175274,3114.5101071244117,3114.6642196707458,3668.799104326407
2.2,4070.4428798193517,3679.730538709874,3497.8099722532493,3393.5987580445026,3326.6630994113784,3280.417131718655,3246.806802638053,3221.4540426605577,3201.778122320782,3186.161929444297,3173.5425856124752,3163.1941292567103,3154.6047771856115,3147.4040142771996,3141.317431384866,3136.1377480168344,3131.7056527844707,3127.8968028639733,3124.6128011342503,3121.7748081591076,3119.3189388421797,3117.192892009872,3115.3534469071224,3113.764579000577,3112.3960246206716,3111.2221752062483,3110.2212165431097,3109.37445216428,3108.6657666432147,3108.0811962019047,3107.6085824081315,3107.2372907691865,3106.9579804348923,3106.7624144681463,3106.6433025570864,3106.59416985402,3106.6092469977325,3106.6833774198863,3106.811938839746,3106.9907764721747,3679.730538709874
2.3,4106.23777812692,3690.4534687157147,3500.3886882491115,3392.4600618149957,3323.477873567622,3275.9645221768715,3241.50510122413,3215.551808222843,3195.434758846849,3179.4858169204426,3166.6108142884295,3156.063482583094,3147.3182287685745,3139.994777829039,3133.811602695683,3128.5560977643772,3124.0648851394767,3120.2104649720413,3116.8919564521316,3114.0285450836946,3111.554761312205,3109.4170235294637,3107.571069784487,3105.9800242940055,3104.6129240590417,3103.4435834423334,3102.4497100458802,3101.612209578213,3100.914634353427,3100.3427420301414,3099.884139745475,3099.527994975565,3099.264798964649,3099.0861718913247,3098.984701416046,3098.9538081133005,3098.9876326993995,3099.080941040612,3099.2290437519405,3099.4277278365175,3690.4534687157147
2.4,4141.652919809686,3700.937777688596,3502.9433937477074,3391.419902925825,3320.4616977333703,3271.723395304466,3236.44121328304,3209.903834240342,3189.355661708141,3173.0795721203212,3159.9513895915225,3149.2053919009395,3140.3027708906907,3132.8539221802043,3126.5705213855113,3121.2348813493495,3116.6797450966187,3112.7746010188407,3109.4161974881417,3106.521832533922,3104.0245197933546,3101.8694490688617,3100.0113565034317,3098.4125443874645,3097.0413718279087,3095.871091333533,3094.878942684349,3094.0454403556664,3093.3538081005063,3092.789526522322,3092.3399682058925,3091.994101288367,3091.742246963496,3091.575879815135,3091.4874624093636,3091.470307479126,3091.518462476273,3091.626612368283,3091.7899974029074,3092.004343220956,3700.937777688596
2.4999999999999996,4176.634874426371,3711.158414780439,3505.4529718007866,3390.4594820698994,3317.598309275032,3267.6800674256433,3231.603896419874,3204.5011154358635,3183.533856021801,3166.9380673044275,3153.5608778560627,3142.6179929856876,3133.5580078065536,3125.9824374973205,3119.5964946297736,3114.177663880175,3109.555003533566,3105.5951402980036,3102.1925679680567,3099.2627871213917,3096.737364115227,3094.5603135898496,3092.6854105321827,3091.0741660755034,3089.694284358923,3088.518472820888,3087.523515414407,3086.689543666415,3085.99945819985,3085.43846581853,3084.993706170638,3084.6539484506275,3084.409343306799,3084.2512185965497,3084.171910219087,3084.1646212013798,3084.2233036870975,3084.342559605315,3084.5175566617554,3084.743956968803,3711.158414780439
2.5,4176.634874426371,3711.158414780439,3505.4529718007866,3390.4594820698994,3317.598309275032,3267.6800674256433,3231.603896419874,3204.5011154358635,3183.533856021801,3166.9380673044275,3153.5608778560627,3142.6179929856876,3133.5580078065536,3125.9824374973205,3119.5964946297736,3114.177663880175,3109.555003533566,3105.5951402980036,3102.1925679680567,3099.2627871213917,3096.737364115227,3094.5603135898496,3092.6854105321827,3091.0741660755034,3089.6942843589154,3088.518472820888,3087.523515414407,3086.689543666415,3085.99945819985,3085.43846581853,3084.993706170638,3084.6539484506275,3084.409343306799,3084.2512185965497,3084.171910219087,3084.1646212013798,3084.2233036870975,3084.342559605315,3084.5175566617554,3084.743956968803,3505.4529718007866
2.6,4211.126184001116,3721.094302046867,3507.901000241608,3389.563977279388,3314.874393192181,3263.8228060178058,3226.982998485426,3199.3350266442735,3177.962171966048,3161.0555152476345,3147.4348071898953,3136.298068912658,3127.0819233994957,3119.3794592174845,3112.8897638089275,3107.3857497235585,3102.692986818805,3098.675391756613,3095.2253213500985,3092.2565700402083,3089.6993277502916,3087.4964887749165,3085.6009091732813,3083.9733412547153,3082.5808587503675,3081.3956424928942,3080.394034306244,3079.5557927531017,3078.863502429882,3078.3021012220065,3077.8584990182967,3077.5212679510432,3077.2803890254286,3077.1270435445776,3077.053440375095,3077.0526720824523,3077.1185944702747,3077.2457252071767,3077.429158109888,3077.6644903385236,3507.901000241608
2.7,4245.067361448137,3730.727707812798,3510.274506560411,3388.7213232522904,3312.278570726578,3260.141054291277,3222.568891172441,3194.396924394519,3172.632974502425,3155.4252938293394,3141.567561439967,3130.240995139361,3120.870865162004,3113.042283411168,3106.4485471963376,3100.8582508568734,3096.0936707111086,3092.0161642138137,3088.516068545902,3085.5055635520835,3082.9135341844267,3080.6818101376202,3078.762371937871,3077.115246740705,3075.706903877203,3074.5090175474265,3073.4975026723137,3072.651756348433,3071.954055723299,3071.389076059564,3070.9435020051,3070.6057117691885,3070.3655187869754,3070.213959060329,3070.143115048609,3070.1459690039837,3070.216280177989,3070.3484814973785,3070.5375922093094,3070.7791436961516,3510.274506560411
